Rank,flag,Country,Gold,Silver,Bronze,Total
39, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/44px-Flag_of_Algeria.svg.png,Algeria,2,0,1,3
39, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/44px-Flag_of_Indonesia.svg.png,Indonesia,2,0,1,3
41, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/44px-Flag_of_Israel.svg.png,Israel,1,5,1,7
42, //upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/44px-Flag_of_Poland.svg.png,Poland,1,4,5,10
43, //upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_Kazakhstan_%283-2%29.svg/44px-Flag_of_Kazakhstan_%283-2%29.svg.png,Kazakhstan,1,3,3,7
44, //upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/44px-Flag_of_Jamaica.svg.png,Jamaica,1,3,2,6
44, //upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/44px-Flag_of_South_Africa.svg.png,South Africa,1,3,2,6
44, //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/44px-Flag_of_Thailand.svg.png,Thailand,1,3,2,6
–, //upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Flag_of_the_Individual_Neutral_Athletes_at_the_2024_Summer_Olympics.svg/44px-Flag_of_the_Individual_Neutral_Athletes_at_the_2024_Summer_Olympics.svg.png,Individual Neutral Athletes[A][B],1,3,1,5
47, //upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/44px-Flag_of_Ethiopia.svg.png,Ethiopia,1,3,0,4
48, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Civil_Ensign_of_Switzerland_%28Pantone%29.svg/44px-Civil_Ensign_of_Switzerland_%28Pantone%29.svg.png,Switzerland,1,2,5,8
49, //upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/44px-Flag_of_Ecuador.svg.png,Ecuador,1,2,2,5
50, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/44px-Flag_of_Portugal.svg.png,Portugal,1,2,1,4
