Rank,flag,Country,Gold,Silver,Bronze,Total
39, //upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/44px-Flag_of_Kazakhstan.svg.png,Kazakhstan,2,3,4,9
40, //upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/44px-Flag_of_Nigeria.svg.png,Nigeria,2,3,2,7
41, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/44px-Flag_of_Egypt.svg.png,Egypt,2,2,3,7
42, //upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/44px-Flag_of_Malaysia.svg.png,Malaysia,2,2,1,5
43, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/44px-Flag_of_Portugal.svg.png,Portugal,2,1,4,7
44, //upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/44px-Flag_of_Ethiopia.svg.png,Ethiopia,2,1,0,3
44, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/44px-Flag_of_Singapore.svg.png,Singapore,2,1,0,3
46, //upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/44px-Flag_of_South_Africa.svg.png,South Africa,2,0,4,6
47, //upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/44px-Flag_of_Ecuador.svg.png,Ecuador,2,0,2,4
48, //upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/44px-Flag_of_Jordan.svg.png,Jordan,2,0,1,3
49, //upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/44px-Flag_of_Costa_Rica.svg.png,Costa Rica,2,0,0,2
50, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/44px-Flag_of_Indonesia.svg.png,Indonesia,1,8,5,14
51, //upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/44px-Flag_of_Georgia.svg.png,Georgia,1,4,4,9
51, //upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/44px-Flag_of_New_Zealand.svg.png,New Zealand,1,4,4,9
53, //upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/44px-Flag_of_the_Czech_Republic.svg.png,Czech Republic,1,4,3,8
54, //upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/44px-Flag_of_Norway.svg.png,Norway,1,3,3,7
55, //upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/44px-Flag_of_Ireland.svg.png,Ireland,1,3,2,6
55, //upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/44px-Flag_of_Serbia.svg.png,Serbia,1,3,2,6
57, //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/44px-Flag_of_Mongolia.svg.png,Mongolia,1,3,0,4
58, //upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/44px-Flag_of_Iraq.svg.png,Iraq,1,1,3,5
59, //upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/44px-Flag_of_Croatia.svg.png,Croatia,1,1,2,4
60, //upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/44px-Flag_of_Chile.svg.png,Chile,1,0,5,6
61, //upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/44px-Flag_of_Kuwait.svg.png,Kuwait,1,0,1,2
61, //upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/44px-Flag_of_Namibia.svg.png,Namibia,1,0,1,2
61, //upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/44px-Flag_of_Romania.svg.png,Romania,1,0,1,2
61, //upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/44px-Flag_of_Slovenia.svg.png,Slovenia,1,0,1,2
65, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/44px-Flag_of_Bulgaria.svg.png,Bulgaria,1,0,0,1
65, //upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/44px-Flag_of_Peru.svg.png,Peru,1,0,0,1
65, //upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/44px-Flag_of_Saudi_Arabia.svg.png,Saudi Arabia,1,0,0,1
68, //upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Chinese_Taipei_Paralympic_Flag.svg/44px-Chinese_Taipei_Paralympic_Flag.svg.png,Chinese Taipei,0,3,2,5
69, //upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/44px-Flag_of_Austria.svg.png,Austria,0,3,1,4
70, //upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/44px-Flag_of_Bosnia_and_Herzegovina.svg.png,Bosnia and Herzegovina,0,2,0,2
71, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/44px-Flag_of_Finland.svg.png,Finland,0,1,3,4
72, //upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/44px-Flag_of_Sweden.svg.png,Sweden,0,1,2,3
73, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/44px-Flag_of_Cyprus.svg.png,Cyprus,0,1,1,2
73, //upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/44px-Flag_of_Moldova.svg.png,Moldova,0,1,1,2
75, //upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/44px-Flag_of_Kenya.svg.png,Kenya,0,1,0,1
75, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/44px-Flag_of_Sri_Lanka.svg.png,Sri Lanka,0,1,0,1
75, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/44px-Flag_of_Trinidad_and_Tobago.svg.png,Trinidad and Tobago,0,1,0,1
78, //upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Paralympic_flag_%282019%29.svg/44px-Paralympic_flag_%282019%29.svg.png,Refugee Paralympic Team,0,0,2,2
79, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/44px-Flag_of_Lithuania.svg.png,Lithuania,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/44px-Flag_of_Luxembourg.svg.png,Luxembourg,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/44px-Flag_of_Mauritius.svg.png,Mauritius,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/44px-Flag_of_Montenegro.svg.png,Montenegro,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/33px-Flag_of_Nepal.svg.png,Nepal,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/44px-Flag_of_Pakistan.svg.png,Pakistan,0,0,1,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/44px-Flag_of_Vietnam.svg.png,Vietnam,0,0,1,1
