"id";"name";"country";"logo";"short_code";"detail_url"
45;"Comoros";"Comoros";"https://api.fifa.com/api/v1/picture/flags-sq-4/com";"COM";"https://www.fifa.com/associations/association/COM"
46;"Congo";"Congo";"https://api.fifa.com/api/v1/picture/flags-sq-4/cgo";"CGO";"https://www.fifa.com/associations/association/CGO"
47;"Congo DR";"Congo DR";"https://api.fifa.com/api/v1/picture/flags-sq-4/cod";"COD";"https://www.fifa.com/associations/association/COD"
48;"Cook Islands";"Cook Islands";"https://api.fifa.com/api/v1/picture/flags-sq-4/cok";"COK";"https://www.fifa.com/associations/association/COK"
49;"Costa Rica";"Costa Rica";"https://api.fifa.com/api/v1/picture/flags-sq-4/crc";"CRC";"https://www.fifa.com/associations/association/CRC"
50;"Croatia";"Croatia";"https://api.fifa.com/api/v1/picture/flags-sq-4/cro";"CRO";"https://www.fifa.com/associations/association/CRO"
51;"Cuba";"Cuba";"https://api.fifa.com/api/v1/picture/flags-sq-4/cub";"CUB";"https://www.fifa.com/associations/association/CUB"
52;"Cura̤ao";"Cura̤ao";"https://api.fifa.com/api/v1/picture/flags-sq-4/cuw";"CUW";"https://www.fifa.com/associations/association/CUW"
53;"Cyprus";"Cyprus";"https://api.fifa.com/api/v1/picture/flags-sq-4/cyp";"CYP";"https://www.fifa.com/associations/association/CYP"
54;"Czech Republic";"Czech Republic";"https://api.fifa.com/api/v1/picture/flags-sq-4/cze";"CZE";"https://www.fifa.com/associations/association/CZE"
55;"Denmark";"Denmark";"https://api.fifa.com/api/v1/picture/flags-sq-4/den";"DEN";"https://www.fifa.com/associations/association/DEN"
56;"Djibouti";"Djibouti";"https://api.fifa.com/api/v1/picture/flags-sq-4/dji";"DJI";"https://www.fifa.com/associations/association/DJI"
57;"Dominica";"Dominica";"https://api.fifa.com/api/v1/picture/flags-sq-4/dma";"DMA";"https://www.fifa.com/associations/association/DMA"
58;"Dominican Republic";"Dominican Republic";"https://api.fifa.com/api/v1/picture/flags-sq-4/dom";"DOM";"https://www.fifa.com/associations/association/DOM"
59;"Ecuador";"Ecuador";"https://api.fifa.com/api/v1/picture/flags-sq-4/ecu";"ECU";"https://www.fifa.com/associations/association/ECU"
60;"Egypt";"Egypt";"https://api.fifa.com/api/v1/picture/flags-sq-4/egy";"EGY";"https://www.fifa.com/associations/association/EGY"
61;"El Salvador";"El Salvador";"https://api.fifa.com/api/v1/picture/flags-sq-4/slv";"SLV";"https://www.fifa.com/associations/association/SLV"
62;"England";"England";"https://api.fifa.com/api/v1/picture/flags-sq-4/eng";"ENG";"https://www.fifa.com/associations/association/ENG"
63;"Equatorial Guinea";"Equatorial Guinea";"https://api.fifa.com/api/v1/picture/flags-sq-4/eqg";"EQG";"https://www.fifa.com/associations/association/EQG"
64;"Eritrea";"Eritrea";"https://api.fifa.com/api/v1/picture/flags-sq-4/eri";"ERI";"https://www.fifa.com/associations/association/ERI"
65;"Estonia";"Estonia";"https://api.fifa.com/api/v1/picture/flags-sq-4/est";"EST";"https://www.fifa.com/associations/association/EST"
66;"Eswatini";"Eswatini";"https://api.fifa.com/api/v1/picture/flags-sq-4/swz";"SWZ";"https://www.fifa.com/associations/association/SWZ"
67;"Ethiopia";"Ethiopia";"https://api.fifa.com/api/v1/picture/flags-sq-4/eth";"ETH";"https://www.fifa.com/associations/association/ETH"
68;"Faroe Islands";"Faroe Islands";"https://api.fifa.com/api/v1/picture/flags-sq-4/fro";"FRO";"https://www.fifa.com/associations/association/FRO"
69;"Fiji";"Fiji";"https://api.fifa.com/api/v1/picture/flags-sq-4/fij";"FIJ";"https://www.fifa.com/associations/association/FIJ"
70;"Finland";"Finland";"https://api.fifa.com/api/v1/picture/flags-sq-4/fin";"FIN";"https://www.fifa.com/associations/association/FIN"
71;"France";"France";"https://api.fifa.com/api/v1/picture/flags-sq-4/fra";"FRA";"https://www.fifa.com/associations/association/FRA"
72;"Gabon";"Gabon";"https://api.fifa.com/api/v1/picture/flags-sq-4/gab";"GAB";"https://www.fifa.com/associations/association/GAB"
73;"Gambia";"Gambia";"https://api.fifa.com/api/v1/picture/flags-sq-4/gam";"GAM";"https://www.fifa.com/associations/association/GAM"
