partida,capitulo,area,nombre_partida,nombre_capitulo,nombre_area,count,sum,ano
26,02,009,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES IX REGIÓN ARAUCANÍA,5035,3315789831,2023
26,02,010,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES X REGIÓN LOS LAGOS,1336,2506864031,2023
26,02,011,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES XI REGIÓN AYSÉN,1017,1395580507,2023
26,02,012,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES XII REGIÓN MAGALLANES,1371,3744428824,2023
26,02,013,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES REGIÓN METROPOLITANA,1521,4366688554,2023
26,02,014,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,ESTADIO NACIONAL,561,5085457439,2023
26,02,015,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,IND - NIVEL CENTRAL,5273,482037161454,2023
26,02,016,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,IND - CENTRO DE ALTO RENDIMIENTO,779,874202344,2023
26,02,017,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN GENERAL DE DEPORTES XIV REGIÓN DE LOS RIOS,3443,1954254826,2023
26,02,018,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN GENERAL DE DEPORTES XV REGIÓN DE ÁRICA Y PARINACOTA,2418,1209547973,2023
26,02,019,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCION REGIONAL DE DEPORTES XVI REGION ÑUBLE,3147,1994624527,2023
26,01,001,MINISTERIO DEL DEPORTE,SUBSECRETARIA DEL DEPORTE,SUBSECRETARIA DEL DEPORTE - NIVEL CENTRAL,3658,7202973313,2022
26,02,001,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES I REGIÓN TARAPACÁ,995,1524732761,2022
26,02,002,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES II REGIÓN ANTOFAGAS,1089,2021191104,2022
26,02,003,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES III REGIÓN ATACAMA,1383,3230011050,2022
26,02,004,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES IV REGIÓN COQUIMBO,1345,3833726579,2022
26,02,005,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES V REGIÓN VALPARAÍSO,2056,7177203277,2022
26,02,006,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VI REGIÓN O´HIGGINS,1568,4089244849,2022
26,02,007,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VII REGIÓN MAULE,2108,6391889878,2022
26,02,008,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES VIII REGIÓN BÍO-BÍO,1786,3518540343,2022
26,02,009,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES IX REGIÓN ARAUCANÍA,5155,4805613508,2022
