fc098757-c884-45f8-8d0f-da70473ae47b,MAISCH Katharina,Germany,27,null,176,0.0,null,null,null
ee2e3506-20e5-44cf-ace6-d244a75f5f82,MAYER Lisa,Germany,28,null,170,0.0,null,null,null
e33ad6b9-3626-41dd-86cf-8f0ca9aa0c54,MAYER Mona,Germany,23,null,169,0.0,null,null,null
3d4bd486-058f-442d-b0cb-9bb9a6cf6115,MEYER Lea,Germany,27,null,175,0.0,null,null,null
d37ae55a-bf11-477a-9ea7-b0741e2b78a5,MIHAMBO Malaika,Germany,30,null,171,0.0,null,null,null
021336fd-7e30-4ab8-9265-3ca5bc5e6031,NEUGEBAUER Leo,Germany,24,null,201,0.0,null,null,null
3044bc13-55cd-4730-aacb-0c404b01849a,OGUNLEYE Yemisi,Germany,26,null,185,0.0,null,null,null
9dd337d0-312f-455a-aded-13d926567bdb,ONNEN Imke,Germany,30,null,190,0.0,null,null,null
bcfb6187-0f8b-4d0c-8129-7b0d6fea837e,PETROS Amanal,Germany,29,null,181,0.0,null,null,null
2449b53b-6f6e-4a40-999e-2d3005b478e3,POTYE Tobias,Germany,29,null,198,0.0,null,null,null
57e71fa2-0d7a-4382-9565-bad97f785e36,PREIS Constantin,Germany,26,null,183,0.0,null,null,null
a7f7e30f-a8d2-4a63-aa39-d259aa40104e,PROBST Marius,Germany,29,null,183,0.0,null,null,null
f7bef965-d547-45e8-845b-ed83dc625b26,PRUEFER Clemens,Germany,27,null,198,0.0,null,null,null
10e6a096-1fa8-4e27-987a-ef400ae3ea32,PUDENZ Kristin,Germany,31,null,191,0.0,null,null,null
d23d0405-d4e9-4cbe-8d7b-45e5a21c3528,RINGER Richard,Germany,35,null,182,0.0,null,null,null
496ae125-ebe9-43c1-b3ac-5c0328f1b6c6,SANDERS Manuel,Germany,26,null,200,0.0,null,null,null
40519361-f034-4c2c-b3ec-0d4469635cbd,SCHAEFER Carolin,Germany,32,null,178,0.0,null,null,null
c0514359-ecfc-4652-bb87-3796d6e478dc,SCHNEIDER Velten,Germany,25,null,183,0.0,null,null,null
a9f56489-c749-4617-af5a-5c171b77de2a,STEINFORTH Till,Germany,22,null,185,0.0,null,null,null
ba969a34-ecf9-4676-a348-7f42b4f2ce4c,VITA Claudine,Germany,28,null,179,0.0,null,null,null
e26b58e3-523e-4617-8ac0-2e35ea376e63,WAGNER Julian,Germany,26,null,188,0.0,null,null,null
b2bcb25b-2795-4f61-9181-d055de56223d,WEBER Julian,Germany,30,null,190,0.0,null,null,null
214b6d25-a2ea-40cb-9072-e94e5c7d4602,WESSEL Nele,Germany,25,null,169,0.0,null,null,null
34f7fb87-38af-451f-b446-86c5dfc924f4,WOLF Yannick,Germany,24,null,175,0.0,null,null,null
112397cd-057a-45a1-b979-d48605c4db46,ZERNIKEL Oleg,Germany,29,null,186,0.0,null,null,null
5d4c89c0-5724-45b0-8474-a04a05990063,HOTTENROTT Laura,Germany,32,null,170,0.0,null,null,null
fccd6938-1eff-480f-a870-f0b5a884a7f0,KRANZ Kevin,Germany,26,null,181,0.0,null,null,null
ab0258ab-64f3-464a-a92e-9fa4b7d6dea8,DAMMERMANN Fabian,Germany,27,null,180,0.0,null,null,null
e353b35c-a4c5-4d52-8ca2-078f5eb3db26,BEBENDORF Karl,Germany,28,null,184,0.0,null,null,null
ec6dfcdb-7805-49d5-a1b0-f34a281689c9,FITWI SIBHATU Samuel,Germany,28,null,180,0.0,null,null,null
e8a8a8bf-ebfb-40a0-a784-657d6fedfc38,SCHIER Skadi,Germany,24,null,186,0.0,null,null,null
7181b856-4a56-408a-82af-9b01f8e0e5c7,GUERTH Olivia,Germany,22,null,164,0.0,null,null,null
7f8201b7-be9d-43ff-9160-e69005d22ffa,SONNTAG Lena,Germany,20,null,158,0.0,null,null,null
81bc5a7a-0bbd-48f6-a4e2-a17f1741f7ec,WEISSENBERG Sophie,Germany,27,null,182,0.0,null,null,null
