codigo_pais,logo_url,logo_url,logo_url,Pais,pais_id,region_id
BFA,https://api.fifa.com/api/v1/picture/flags-sq-4/bfa,https://api.fifa.com/api/v1/picture/flags-sq-4/bfa,https://api.fifa.com/api/v1/picture/flags-sq-4/bfa,Burkina Faso,a82e4b41-e4bd-4b2c-b3dd-7a702f8b0d16,180c304e-079d-4845-95e1-c2a3976914c0
BHR,https://api.fifa.com/api/v1/picture/flags-sq-4/bhr,https://api.fifa.com/api/v1/picture/flags-sq-4/bhr,https://api.fifa.com/api/v1/picture/flags-sq-4/bhr,Bahrain,0e83e2f5-7d0f-4500-9d4a-8306881ede06,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
BHU,https://api.fifa.com/api/v1/picture/flags-sq-4/bhu,https://api.fifa.com/api/v1/picture/flags-sq-4/bhu,https://api.fifa.com/api/v1/picture/flags-sq-4/bhu,Bhutan,ed269059-a54e-4e0a-896c-ce51726640b7,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
BIH,https://api.fifa.com/api/v1/picture/flags-sq-4/bih,https://api.fifa.com/api/v1/picture/flags-sq-4/bih,https://api.fifa.com/api/v1/picture/flags-sq-4/bih,Bosnia and Herzegovina,f34c448a-61f7-45b5-be2e-86406cdac456,f5108bc2-6414-428d-afa8-7f6d4c02d153
BLR,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,https://api.fifa.com/api/v1/picture/flags-sq-4/blr,Belarus,19af659a-2303-4579-880f-2274a260cf41,f5108bc2-6414-428d-afa8-7f6d4c02d153
BLZ,https://api.fifa.com/api/v1/picture/flags-sq-4/blz,https://api.fifa.com/api/v1/picture/flags-sq-4/blz,https://api.fifa.com/api/v1/picture/flags-sq-4/blz,Belize,3961086e-3ff7-45e9-9280-bd6f465ca1aa,299297c1-0ff6-400f-a711-e0f9505e6d01
BOL,https://api.fifa.com/api/v1/picture/flags-sq-4/bol,https://api.fifa.com/api/v1/picture/flags-sq-4/bol,https://api.fifa.com/api/v1/picture/flags-sq-4/bol,Bolivia,42d8d042-1e8d-4e96-bfb5-f6901413bf98,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
BOT,https://api.fifa.com/api/v1/picture/flags-sq-4/bot,https://api.fifa.com/api/v1/picture/flags-sq-4/bot,https://api.fifa.com/api/v1/picture/flags-sq-4/bot,Botswana,d3301414-0bfb-4632-ae7c-c3a8b747d320,180c304e-079d-4845-95e1-c2a3976914c0
BRA,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,Brazil,9aa1e820-4c5f-4ede-a1d4-2e271876a340,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
BRB,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,https://api.fifa.com/api/v1/picture/flags-sq-4/brb,Barbados,64de7d33-8641-448b-b075-d64c2cef05f8,299297c1-0ff6-400f-a711-e0f9505e6d01
BRU,https://api.fifa.com/api/v1/picture/flags-sq-4/bru,https://api.fifa.com/api/v1/picture/flags-sq-4/bru,https://api.fifa.com/api/v1/picture/flags-sq-4/bru,Brunei Darussalam,cc6ba165-5d09-4b87-8bdb-b6c977b765c7,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
BUL,https://api.fifa.com/api/v1/picture/flags-sq-4/bul,https://api.fifa.com/api/v1/picture/flags-sq-4/bul,https://api.fifa.com/api/v1/picture/flags-sq-4/bul,Bulgaria,a2f66693-e952-4306-bfa7-8d04d147e6e9,f5108bc2-6414-428d-afa8-7f6d4c02d153
CAM,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,https://api.fifa.com/api/v1/picture/flags-sq-4/cam,Cambodia,121494e3-296b-48df-838f-fb46455f69f7,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
CAN,https://api.fifa.com/api/v1/picture/flags-sq-4/can,https://api.fifa.com/api/v1/picture/flags-sq-4/can,https://api.fifa.com/api/v1/picture/flags-sq-4/can,Canada,de9af91c-c54a-4044-882a-5e5084c501e9,299297c1-0ff6-400f-a711-e0f9505e6d01
CAY,https://api.fifa.com/api/v1/picture/flags-sq-4/cay,https://api.fifa.com/api/v1/picture/flags-sq-4/cay,https://api.fifa.com/api/v1/picture/flags-sq-4/cay,Cayman Islands,16fcc7f2-1962-4c21-9d0a-fc6ac005e7fb,299297c1-0ff6-400f-a711-e0f9505e6d01
CGO,https://api.fifa.com/api/v1/picture/flags-sq-4/cgo,https://api.fifa.com/api/v1/picture/flags-sq-4/cgo,https://api.fifa.com/api/v1/picture/flags-sq-4/cgo,Congo,8a038085-0d7d-43df-9494-ba152b47d75a,180c304e-079d-4845-95e1-c2a3976914c0
CHA,https://api.fifa.com/api/v1/picture/flags-sq-4/cha,https://api.fifa.com/api/v1/picture/flags-sq-4/cha,https://api.fifa.com/api/v1/picture/flags-sq-4/cha,Chad,9eb7fe5e-0417-41e9-8a77-2418ae9404f9,180c304e-079d-4845-95e1-c2a3976914c0
CHI,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,Chile,ddbf1a7c-fb01-4811-8f7d-5732456680aa,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
CHN,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,https://api.fifa.com/api/v1/picture/flags-sq-4/chn,China PR,82462bdd-97a4-4e27-a9a8-d1aa5e3cf6e1,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
